Date,"N2, cm-3 (100 km)","N2, cm-3 (150 km)","N2, cm-3 (200 km)","N2, cm-3 (250 km)","N2, cm-3 (300 km)","N2, cm-3 (350 km)","N2, cm-3 (400 km)","N2, cm-3 (450 km)","N2, cm-3 (500 km)","N2, cm-3 (550 km)","N2, cm-3 (600 km)","N2, cm-3 (650 km)","N2, cm-3 (700 km)","N2, cm-3 (750 km)","N2, cm-3 (800 km)","N2, cm-3 (850 km)","N2, cm-3 (900 km)","N2, cm-3 (950 km)","N2, cm-3 (1000 km)"
01/01/1996,12880000000000,24360000000,1727000000,177500000,19910000,2330000,282100,35240,4540,602.4,82.3,11.57,1.672,0.2484,0.0379,0.005935,0.0009536,0.0001571,0.00002653
01/02/1996,12630000000000,24280000000,1722000000,177500000,20000000,2351000,286000,35890,4644,619,84.94,11.99,1.741,0.2597,0.03978,0.006256,0.001009,0.000167,0.0000283
01/03/1996,12820000000000,25060000000,1683000000,164000000,17450000,1937000,222500,26400,3232,408,53.05,7.103,0.9787,0.1387,0.02019,0.00302,0.0004638,0.00007307,0.00001181
01/04/1996,11910000000000,26420000000,1814000000,186200000,21050000,2489000,304400,38440,5002,670.6,92.54,13.14,1.918,0.2876,0.0443,0.007004,0.001136,0.0001889,0.00003218
01/05/1996,11400000000000,25520000000,1741000000,176000000,19550000,2270000,272700,33810,4323,569.5,77.26,10.78,1.548,0.2284,0.03461,0.005385,0.0008595,0.0001407,0.00002361
01/06/1996,10760000000000,23390000000,1595000000,156500000,16710000,1861000,214500,25530,3135,396.8,51.75,6.949,0.96,0.1364,0.01992,0.002987,0.0004599,0.00007265,0.00001177
01/07/1996,9949000000000,22300000000,1560000000,154900000,16680000,1873000,217500,26080,3225,411.2,54.01,7.304,1.016,0.1453,0.02136,0.003225,0.0004999,0.00007947,0.00001296
01/08/1996,9640000000000,23260000000,1694000000,179600000,20830000,2522000,315600,40740,5419,742.4,104.7,15.17,2.261,0.3461,0.05439,0.008771,0.001451,0.0002459,0.0000427
01/09/1996,10750000000000,25170000000,1715000000,170200000,18460000,2090000,244800,29600,3693,474.8,62.88,8.572,1.202,0.1733,0.02568,0.003907,0.00061,0.00009771,0.00001605
01/10/1996,11700000000000,27300000000,1812000000,177300000,19020000,2131000,247200,29610,3659,466.1,61.16,8.263,1.149,0.1642,0.02411,0.003637,0.0005632,0.00008947,0.00001457
01/11/1996,12690000000000,27560000000,1871000000,188300000,20810000,2403000,287200,35430,4508,590.9,79.77,11.08,1.583,0.2325,0.03507,0.005431,0.0008631,0.0001407,0.0000235
01/12/1996,13060000000000,26100000000,1910000000,211100000,25810000,3303000,437100,59630,8378,1211,180,27.5,4.314,0.6947,0.1148,0.01945,0.003376,0.0006004,0.0001093
01/01/1997,12910000000000,24470000000,1751000000,180900000,20370000,2393000,290600,36420,4706,626.4,85.83,12.1,1.754,0.2613,0.03998,0.00628,0.001012,0.0001672,0.0000283
01/02/1997,12900000000000,24140000000,1678000000,167200000,18110000,2046000,239200,28860,3592,460.8,60.9,8.284,1.159,0.1668,0.02466,0.003744,0.0005835,0.00009328,0.00001529
01/03/1997,12010000000000,25790000000,1854000000,198100000,23290000,2861000,363600,47650,6435,894.6,128,18.82,2.844,0.4415,0.07034,0.0115,0.001927,0.000331,0.00005822
01/04/1997,11750000000000,26710000000,1901000000,205200000,24510000,3066000,396800,52950,7279,1030,149.9,22.43,3.447,0.544,0.0881,0.01463,0.002492,0.0004348,0.00007769
